,...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
1,3681,1727,3121,2710,1863,1685,1560,1719,1197,2563,2104,2420,2663,1937,2634,2313,1852,1889,2093,3172,2372,1918,3433,2186,1836,2640,1664,1342,2891,4686,3918,3633,5334,2607,4386,3681
2,16476,13053,13238,25709,3799,8149,7131,8722,6454,4105,9013,7338,6240,7062,4777,7091,9482,9654,21011,15484,20246,15822,12418,9244,5928,10656,6590,3465,7337,8585,6939,10281,11424,7731,10218,6579
3,452,236,292,290,259,120,211,302,89,404,169,349,573,166,204,203,260,323,665,534,548,784,567,589,339,347,227,195,312,744,667,500,2569,427,620,584
4,2118,895,2113,673,166,332,257,1516,193,218,294,235,271,234,326,198,1638,245,150,1144,350,457,184,179,211,359,301,198,267,305,234,250,322,215,335,273
5,7244,17552,14806,8099,2111,11230,10537,13479,12143,7848,18365,9849,9264,6853,6196,6324,12558,20360,2989,4075,7606,3986,5960,13518,5888,10596,8108,8215,10357,6284,6927,8595,8073,7683,11197,8467
6,15519,12436,10952,12730,2582,4313,5006,2778,11407,2864,5869,1627,6468,7455,4389,2748,5270,6827,2841,2781,15742,3703,2636,4244,4000,3735,5642,8274,5899,1763,1192,9738,896,3204,1513,2275
7,5866,6363,6353,2153,2634,2297,3893,2271,4544,4880,3279,3486,3588,3974,3565,6526,2680,3558,12402,6320,8001,10010,7038,3114,7078,4642,3954,8708,5563,3799,4482,10195,215,5560,1849,4874
8,4050,500,1361,674,1732,1528,3415,1166,1101,7243,5596,8860,3631,2404,5247,4866,1439,1686,1588,1531,725,1639,2904,2506,5987,2010,2187,2119,6687,7246,10862,4221,14312,4653,9032,12325
9,11276,6750,4144,17328,5850,6899,10295,2536,8969,11429,3051,7337,10509,7831,10576,12872,4763,4033,10274,4227,5761,13893,7458,6802,13286,6174,9185,10360,8549,5302,9280,9331,7825,12484,6502,8600
10,1855,2032,3471,327,924,2534,3203,3169,3287,5384,2657,9204,2581,6387,4106,5027,3130,3774,3215,3737,2330,7142,5937,3629,9402,1528,3045,5734,4108,10203,12387,6445,782,8983,4218,9855
11,105,5701,1683,15,13179,3268,3788,2234,3815,2873,1133,3242,3619,4453,3437,2129,6156,3171,7669,18540,2059,10971,6782,1258,766,1455,3770,2909,6638,900,2,557,0,938,650,0
12,11330,3603,2683,4767,6450,1471,3671,944,1915,6145,3619,4582,6924,3265,8190,5408,1580,2912,8059,2558,3443,6381,4916,1818,8731,2364,1962,3449,5075,3665,7363,5238,6050,6895,5467,7266
13,944,428,655,645,1228,953,840,503,388,2975,2219,2133,1770,684,1191,1348,636,510,620,703,667,924,1530,1166,507,639,481,453,1471,3191,2388,1653,8251,1526,2916,2022
14,7398,4316,4542,9928,3947,3086,2269,3283,2579,3754,3412,4125,3895,4943,2994,4871,4934,4167,8327,8228,10492,4194,7754,3860,3890,3987,3787,2134,5893,6910,4938,6936,8132,4434,5557,5828
15,2058,8456,17545,3107,5866,11538,6080,13199,15066,9089,10395,1015,5513,9727,2751,12961,10391,14554,11083,14692,14402,7308,8952,18221,2061,12140,14135,15005,15290,2221,166,1975,0,1550,184,318
16,185,1500,1277,0,1858,2929,2503,2240,1476,3038,1598,6785,2617,3763,6942,1748,3503,1879,1588,1491,691,3153,3981,1592,16413,1777,4312,2916,2429,7275,3429,3573,47,8637,6231,1533
17,214,130,953,0,930,1233,2993,625,348,1619,1511,3470,2710,3176,3462,1955,1872,981,785,138,151,237,1103,1824,2699,961,711,1540,1376,5737,5700,3009,543,3934,3554,6192
18,0,1601,0,0,17701,5617,7582,5950,1775,8164,6536,1658,4033,3922,1016,6786,8364,1561,347,2600,0,91,3852,4245,0,8720,10185,8543,229,99,0,0,0,10,70,0
19,0,4261,1341,0,9972,16317,6861,10177,13471,3666,8911,56,2232,1986,86,3695,5131,4106,1862,2574,1819,241,1849,10352,0,9514,7443,7218,2772,71,0,18,0,147,3,0
20,0,962,364,0,3515,3029,4029,5352,231,2085,1763,7918,4068,2620,7480,1915,2436,497,572,1218,78,2330,2533,1172,2509,3774,2905,1669,1043,4341,483,3159,0,3389,3107,0
21,357,1205,1234,0,1121,3266,2896,3019,657,165,696,335,62,115,25,1227,736,573,22,629,1719,0,562,4885,1496,2210,237,1420,762,463,130,0,0,387,0,160
22,0,93,0,0,365,231,2956,612,9,123,319,3509,2851,3078,5916,835,412,161,6,208,0,723,410,196,188,929,257,142,316,669,512,148,0,1178,485,0
23,24,22,6,0,101,180,858,60,18,90,206,813,317,992,2216,270,647,58,80,66,37,511,481,62,199,191,108,95,310,1366,4225,713,839,4500,3010,3668
24,4469,3960,4999,5111,1,180,34,6897,790,28,602,82,50,26,30,14,1972,1314,6,113,416,61,136,23,17,473,77,14,29,222,24,33,42,33,42,21
25,368,233,238,15,360,224,1569,254,158,3187,2129,3862,1583,1865,3182,2013,1214,768,132,176,199,319,1255,339,2517,1450,376,649,1186,7630,5985,3226,5369,2297,4158,11537
26,0,0,93,0,70,1159,232,2598,360,0,307,0,184,95,1,0,837,1888,364,270,0,2185,0,0,0,0,6,1,19,0,0,0,0,0,0,0
27,732,568,849,1336,2020,1678,363,1300,1639,1094,1257,165,0,503,166,55,1154,474,51,1745,408,389,787,1150,74,25,1202,0,0,434,10,19,196,43,36,12
28,0,192,0,0,6177,63,3050,1431,2,1399,980,4103,8154,5244,2626,1372,1721,2140,0,387,0,402,936,413,0,3080,4244,911,148,106,0,0,0,285,131,0
29,1312,1332,1904,3367,150,3507,2090,1343,5316,1231,1306,0,1869,1471,742,807,1626,1738,169,40,499,10,88,3218,70,635,1693,1144,832,488,28,646,982,15,226,200
30,43,26,24,9,72,147,67,13,7,2168,580,1642,588,261,780,1697,308,173,17,47,51,75,311,69,429,197,56,7,303,1964,2291,684,15580,788,3158,2346
